 B010| B100| B080| B090| B100| B110| B080| B090| B100| B080| B090| B100| B110| B080| B100| B090| B080| B090| B100| B110| B090| B100| B100| B080| B100| B100| B110| B110| B080| B070-
 B020| R013|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0| H020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0| H020| H020|    0|    0|    0| H010|    0|    0|    0| R030|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0| H010|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| R030|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| R030|    0|    0|    0|    0|    0|    0|    0| H010|    0|    0|    0|    0|    0| B060-
 B020|    0|    0| H010|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| R030|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0| R020| R022| R024|    0|    0|    0| W010| W012|    0| R010| R012|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0| R021| R023| R025|    0|    0|    0| W011| W013|    0| R011| R013|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0| W010| W012|    0|    0| C010|    0|    0|    0|    0|    0|    0|    0|    0|    0| H010|    0|    0|    0|    0| H010|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0| W011| W013|    0|    0|    0|    0|    0|    0| C010|    0|    0|    0| R030|    0|    0|    0| R030|    0|    0| W020|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| R030|    0|    0|    0|    0| R030|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0| W020|    0| W020|    0|    0|    0|    0|    0|    0|    0|    0|    0| W020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0| W020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| W020| W020|    0|    0| R030|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| R030|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B020|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| B060-
 B030| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B040| B050
